City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadithah,34.1397,42.3781,27.07,26,100,3.2,IQ,1681932547
1,olonkinbyen,70.9221,-8.7187,1.9,90,3,7.54,SJ,1681932403
2,waitangi,-43.9535,-176.5597,16.57,93,100,3.58,NZ,1681932410
3,ushuaia,-54.8,-68.3,9.79,81,75,12.35,AR,1681932312
4,tura,25.5198,90.2201,26.66,61,51,4.12,IN,1681932466
5,adamstown,-25.066,-130.1015,24.91,75,46,3.33,PN,1681932131
6,hawaiian paradise park,19.5933,-154.9731,24.94,93,40,7.2,US,1681932414
7,blackmans bay,-43.0167,147.3167,9.85,74,86,3.8,AU,1681932412
8,mata de sao joao,-12.5303,-38.2992,29.86,62,74,2.69,BR,1681932549
9,port-aux-francais,-49.35,70.2167,5.02,76,74,16.37,TF,1681932404
10,taksimo,56.3444,114.8794,-7.0,69,100,1.91,RU,1681932550
11,sona,45.4388,10.8255,14.88,89,75,3.09,IT,1681932028
12,laguna,38.421,-121.4238,17.38,47,0,3.6,US,1681932550
13,greymouth,-42.4667,171.2,11.62,92,100,2.39,NZ,1681932551
14,qaqortoq,60.7167,-46.0333,0.97,89,85,1.81,GL,1681932412
15,anadyr,64.75,177.4833,-3.72,85,40,4.0,RU,1681932404
16,ribeira grande,38.5167,-28.7,15.43,77,40,6.17,PT,1681932412
17,tidjikja,18.5564,-11.4271,32.71,14,26,3.03,MR,1681932179
18,zyryanskoye,56.8306,86.6258,-6.01,92,100,3.41,RU,1681932553
19,thompson,55.7435,-97.8558,-0.91,51,75,6.17,CA,1681932406
20,mar del plata,-38.0023,-57.5575,15.53,62,40,7.2,AR,1681932553
21,kindu,-2.95,25.95,22.93,95,100,1.5,CD,1681932553
22,ust-nera,64.5667,143.2,-15.63,100,100,3.09,RU,1681932439
23,avarua,-21.2078,-159.775,25.03,88,100,3.09,CK,1681932406
24,port elizabeth,-33.918,25.5701,21.29,75,0,3.09,ZA,1681932209
25,natal,-5.795,-35.2094,31.36,74,20,5.66,BR,1681932554
26,arkhangel'sk,64.5401,40.5433,3.06,80,40,3.0,RU,1681932480
27,badger,64.8,-147.5333,-0.72,52,40,3.09,US,1681932404
28,haiku-pauwela,20.9219,-156.3051,22.25,94,100,7.72,US,1681932077
29,bredasdorp,-34.5322,20.0403,17.24,67,100,1.08,ZA,1681932410
30,atafu village,-8.5421,-172.5159,28.13,72,100,3.22,TK,1681932411
31,afaahiti,-17.75,-149.2833,27.93,79,100,7.79,PF,1681932408
32,jamestown,42.097,-79.2353,13.07,56,0,2.57,US,1681932174
33,bethel,41.3712,-73.414,14.38,50,75,5.66,US,1681932402
34,minas de marcona,-15.2119,-75.1103,21.63,55,1,5.97,PE,1681932481
35,ambon,-3.6954,128.1814,25.08,94,20,2.57,ID,1681932555
36,west island,-12.1568,96.8225,26.86,83,100,9.88,CC,1681932411
37,longyearbyen,78.2186,15.6401,-7.09,63,20,6.69,SJ,1681932414
38,fort mcmurray,56.7268,-111.381,0.77,93,100,4.12,CA,1681932556
39,richards bay,-28.783,32.0377,21.93,83,0,5.64,ZA,1681932557
40,puerto ayora,-0.7393,-90.3518,29.98,100,100,3.13,EC,1681932416
41,kununurra,-15.7667,128.7333,24.99,50,1,5.14,AU,1681932412
42,yellowknife,62.456,-114.3525,3.29,48,0,4.12,CA,1681932405
43,dudinka,69.4058,86.1778,-20.8,100,100,2.1,RU,1681932416
44,bauru,-22.3147,-49.0606,27.52,36,0,4.63,BR,1681932558
45,broken hill,-31.95,141.4333,10.81,66,1,6.28,AU,1681932471
46,ilulissat,69.2167,-51.1,-4.99,86,100,2.57,GL,1681932412
47,amahai,-3.3333,128.9167,25.58,88,2,1.1,ID,1681932558
48,faranah,10.0404,-10.7434,33.68,28,100,2.94,GN,1681932559
49,kruisfontein,-34.0033,24.7314,18.82,64,100,1.2,ZA,1681932463
50,isafjordur,66.0755,-23.124,7.72,95,100,0.79,IS,1681932413
51,punta arenas,-53.15,-70.9167,12.01,62,40,16.98,CL,1681932409
52,udachny,66.4167,112.4,-18.02,100,98,1.77,RU,1681932436
53,howrah,22.5892,88.3103,30.0,84,40,4.12,IN,1681932465
54,vilyuysk,63.7553,121.6247,-14.96,99,91,1.47,RU,1681932466
55,rongelap,11.1635,166.8941,26.03,84,98,9.27,MH,1681932405
56,utrik,11.2278,169.8474,26.52,79,100,9.03,MH,1681932409
57,puerto natales,-51.7236,-72.4875,13.25,50,75,14.4,CL,1681932403
58,invercargill,-46.4,168.35,11.68,82,91,0.89,NZ,1681932312
59,floro,61.5996,5.0328,14.04,58,0,0.0,NO,1681932561
60,ylitornio,66.3089,23.6773,1.35,100,100,0.67,FI,1681932561
61,edinburgh of the seven seas,-37.0676,-12.3116,17.97,72,100,9.37,SH,1681932403
62,mambusao,11.4289,122.5961,24.42,83,75,0.59,PH,1681932561
63,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,75,75,4.0,RU,1681932446
64,san julian,21.0167,-102.1667,29.0,12,85,6.17,MX,1681932561
65,codrington,-38.2667,141.9667,11.16,82,100,3.8,AU,1681932417
66,tonj,7.2737,28.6822,29.45,49,64,2.85,SS,1681932562
67,antofagasta,-23.65,-70.4,19.6,72,15,3.37,CL,1681932364
68,yemva,62.59,50.8594,-1.13,96,91,1.44,RU,1681932563
69,yung shue wan,22.2333,114.1167,23.75,95,90,4.61,HK,1681932563
70,malango,-2.9627,119.9001,19.69,98,100,0.68,ID,1681932564
71,enewetak,11.3474,162.3373,26.42,81,100,10.62,MH,1681932408
72,namibe,-15.1961,12.1522,25.78,71,36,4.09,AO,1681932414
73,aden,12.7794,45.0367,27.98,77,2,8.09,YE,1681932564
74,khedbrahma,24.0333,73.05,27.96,31,39,0.99,IN,1681932565
75,tazovsky,67.4667,78.7,-10.41,97,100,1.99,RU,1681932412
76,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.57,GF,1681932424
